"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bahrain","BHR","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2857142857143","16.9811320754717","16.7464114832536","16.7731629392971","16.2861491628615","17.0914542728636","19.2982456140351","13.6107986501687","17.5886524822695","17.0186335403727","17.15374841169","14.6443514644351","14.5217391304348","15.9146841673503","15.527950310559","12.9010695187166","12.8665077473182","12.6624737945493","11.8416447944007","14.0841248303935","11.481884057971","12.9403929403929","12.0460704607046","12.0642857142857","15.5508830950378","12.6711848562748","13.3007753759398","13.3464566929134","10.9302809573361","",
"Bahamas, The","BHS","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.55265379975875","5.03507612754956","4.32003837719298","3.46724335326294","3.13493405478526","2.73448445011282","2.52281525876731","2.81081103334706","2.58874451972898","2.4500698610997","2.44406476283459","2.41656981570646","2.22141047965807","2.30363987759704","2.21350558769914","2.23824036352241","2.73977119784657","",
"Belarus","BLR","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8021248339973","30.938292476754","28.857837181045","29.8461538461539","32.2101090188305","35.0219695011631","32.4493927125506","23.4289617486339","25.677147134885","30.2660489741893","30.389337641357","31.9834256737722","31.5036203558251","33.0248578002173","30.6883237917721","31.0733146940044","29.6190233977619","31.8957056557521","",
"Belize","BLZ","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.68580882352941","5.39942528735632","","","2.70061669829222","2.46028465346535","2.60130813953488","2.64774767801858","2.98776377952756","3.43300080128205","3.82054043545879","3.38476629766298","4.83662467700258","4.36600189633375","3.75452876376989","3.57685614849188","3.45889204545455","3.7707051961824","3.75790094339623","3.22710720130933","3.46851238019169","3.60873076923077","3.8697590108969","",
"Bermuda","BMU","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4282955031652","8.8353546647689","12.3645060225396","11.1183095546909","9.92439287641662","7.05054151624549","8.40746248479113","8.13116726835138","7.62790221949473","8.03956865075996","8.9784808322645","7.26476203945973","7.03718058201406","7.08767234859503","6.09580838323353","6.70777154976519","5.9515541740675","5.34188903670084","5.25460324419114","5.16524453694069","5.55361707116895","5.56708407871199","5.28977665208381","4.76330798155616","5.12120924577817","4.79018398879854","4.38507305301794","3.91079858379229","4.0770585283031","3.98024470456522","3.87915102381341","",
"Brazil","BRA","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.32646869006946","4.08718011509734","4.06423947351732","4.1564292515269","5.01922751348344","5.38701469776964","4.87160766159725","3.66757401104433","3.82162541979369","3.83033070760381","3.77776742689217","3.89650860637321","3.85387570582624","4.14642626131953","3.9679612616497","3.75736568457539","3.70327598134387","3.55026296018032","3.49684086990934","3.53338598444634","3.38435353717386","3.67574021954945","3.89574043989723","",
"Barbados","BRB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2325838555105","12.5129265770424","14.6914446002805","15.2408339324227","13.350700097688","11.0300554420776","9.27213722763097","9.08682970608032","12.366452991453","13.4445534838077","12.1003443187408","10.1295097132285","9.79525360632852","9.88593155893536","8.43222985633979","10.843989769821","6.89443535188216","8.10162522028588","8.24929228591649","8.11937312437479","8.35368832437714","8.44258214404248","7.87858621709553","7.54730608117868","6.96624644164295","6.78153360515586","9.05517941773866","8.47865764979639","8.99423107955462","7.83416326530612","7.80105956949775","",
