Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33377376,10.45006222,10.28200638,10.4265603,11.58163182,11.15832048,11.82607834,11.44235785,11.9872759,12.26546848,12.3268919,14.15816219,12.3096971,10.5139682,10.12357234,9.875972698,10.10515122,9.479220273,9.774356132,10.35751511,8.130350288,9.729387564,11.17228305,10.45514311,9.945266903,9.131855835,9.72598843,10.51397839,10.92106449,10.76484069,10.15926155,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.964682638,7.244616234,7.143541128,7.847474122,7.925349402,7.524994276,7.187938289,6.880389951,6.721000976,7.015124132,5.695761008,5.482722344,5.101054991,4.497936196,4.573565528,4.54361611,3.948464842,3.487154948,4.281639586,4.367939674,4.812700138,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.28571429,16.98113208,16.74641148,16.77316294,16.28614916,17.09145427,19.29824561,13.61079865,17.58865248,17.01863354,17.15374841,14.64435146,14.52173913,15.91468417,15.52795031,12.90106952,12.86650775,12.66247379,11.84164479,14.08412483,11.48188406,12.94039294,12.04607046,12.06428571,15.5508831,12.67118486,13.30077538,13.34645669,10.93028096,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5526538,5.035076128,4.320038377,3.467243353,3.134934055,2.73448445,2.522815259,2.810811033,2.58874452,2.450069861,2.444064763,2.416569816,2.22141048,2.303639878,2.213505588,2.238240364,2.739771198,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.80212483,30.93829248,28.85783718,29.84615385,32.21010902,35.0219695,32.44939271,23.42896175,25.67714713,30.26604897,30.38933764,31.98342567,31.50362036,33.0248578,30.68832379,31.07331469,29.6190234,31.89570566,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.685808824,5.399425287,,,2.700616698,2.460284653,2.60130814,2.647747678,2.98776378,3.433000801,3.820540435,3.384766298,4.836624677,4.366001896,3.754528764,3.576856148,3.458892045,3.770705196,3.757900943,3.227107201,3.46851238,3.608730769,3.869759011,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.428295503,8.835354665,12.36450602,11.11830955,9.924392876,7.050541516,8.407462485,8.131167268,7.627902219,8.039568651,8.978480832,7.264762039,7.037180582,7.087672349,6.095808383,6.70777155,5.951554174,5.341889037,5.254603244,5.165244537,5.553617071,5.567084079,5.289776652,4.763307982,5.121209246,4.790183989,4.385073053,3.910798584,4.077058528,3.980244705,3.879151024,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32646869,4.087180115,4.064239474,4.156429252,5.019227513,5.387014698,4.871607662,3.667574011,3.82162542,3.830330708,3.777767427,3.896508606,3.853875706,4.146426261,3.967961262,3.757365685,3.703275981,3.55026296,3.49684087,3.533385984,3.384353537,3.67574022,3.89574044,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.23258386,12.51292658,14.6914446,15.24083393,13.3507001,11.03005544,9.272137228,9.086829706,12.36645299,13.44455348,12.10034432,10.12950971,9.795253606,9.885931559,8.432229856,10.84398977,6.894435352,8.10162522,8.249292286,8.119373124,8.353688324,8.442582144,7.878586217,7.547306081,6.966246442,6.781533605,9.055179418,8.47865765,8.99423108,7.834163265,7.801059569,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0248538,9.589236111,10.27208481,10.42048175,9.984113268,10.20170068,10.31923771,9.138265103,7.795295295,8.080184777,8.631543321,7.587808418,8.169209431,8.986357984,9.004296626,9.154583436,8.478110798,8.226519964,8.071135431,7.578656891,6.455903272,5.98189415,6.165890101,6.425209476,6.113756874,6.16762521,6.147160035,7.141478745,9.964904487,9.271059887,8.563297662,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.795293593,7.033569046,7.176235422,5.606249528,5.639133643,10.31086285,,,,,,6.533857549,10.29338931,8.831407447,6.745184681,,8.460877678,9.670632419,10.91900261,13.96318603,,,,,,,9.686334696,8.446644373,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.340826559,4.186889011,3.981908637,3.59879493,3.456985014,3.444890848,3.369516493,3.172712868,2.978952707,2.790856969,2.815580948,2.897315014,2.747572426,2.757412336,2.764948287,2.760815105,2.821511514,2.874060682,2.903522128,3.078451539,3.212136823,3.172574511,2.773406684,2.870198259,2.732734781,2.508379903,2.579913567,2.880447132,2.867097411,3.217683658,3.115639572,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82121212,,,,,5.464280353,5.045685254,5.21209263,4.847507599,4.629546931,4.458820706,4.440662239,4.354761494,4.30301661,4.222896418,4.290737376,4.098728719,4.088916344,3.689063646,3.493649311,3.35538699,3.296085428,3.340515249,3.294537716,3.401194258,3.698532703,3.741968154,3.899559325,4.123397682,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.420685444,5.387557968,5.567851708,5.116861658,4.77385904,4.137460455,4.026789894,4.099773852,3.81821229,3.641410374,3.562913628,3.210971783,3.151658136,3.08528865,2.755545743,2.740237437,2.648020518,2.592010705,2.486640414,2.456042585,2.431382859,2.324160632,2.202561787,2.225054405,2.136474371,2.20566333,1.99098263,2.024568424,2.071886078,2.067557451,2.065214998,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
