Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,27600,,,,30000,30000,33000,32000,32000,28000,64100,64100,70600,70600,69600,69600,68600,68600,68600,68000,70000,83000,83000,83000,83200,83200,83200,83200,83200,71200,71200,71200,71000,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,276000,,,,319000,295000,295000,296000,296000,296000,680600,680600,700300,698850,676600,673200,673200,673200,673200,687000,673000,754000,721000,721000,713480,713480,713480,713480,713480,729500,729500,729500,730000,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,600,600,600,610,610,600,600,600,600,610,610,610,610,1000,610,610,610,610,610,610,610,610,1000,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,4100,,,,4000,4000,4000,4000,4000,5000,9000,9100,9050,9050,8750,8800,9700,10700,10700,10000,11000,9000,9000,9000,9250,9250,9250,9250,9250,9250,9250,12100,8000,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,5000,5000,5000,4000,5000,6000,7000,7000,6000,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,6000,6000,7000,7000,7000,7000,8500,8500,8500,9500,10000,10000,10000,10500,10500,10000,11000,11000,11000,11000,10500,10500,10500,10500,10500,10500,9000,9000,9000,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,5000,4000,4000,4000,4000,4000,5000,5000,5000,4950,5000,5400,4200,3550,3600,2000,3000,,3000,3000,3150,3150,3150,8150,8150,8150,8150,8150,8000,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,83000,,,,88000,87000,86000,82000,76000,75000,75700,79800,72700,69950,69950,68500,66100,61600,61600,71000,71000,64000,64000,64000,65722,65700,65700,66000,65700,70200,67500,67500,72000,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,763000,,,,816000,662000,700000,755000,829000,839000,1139000,1064650,1029750,1019730,981920,945000,777800,717800,663800,595000,601000,544000,532000,522000,493193,488712,465900,519910,515860,522010,521590,510860,498000,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,,17000,22000,22000,31000,35000,39000,31400,27300,26260,26300,27700,27700,26800,27600,27500,4000,109000,23000,23000,23000,25620,25287,23100,22650,21250,20800,20950,20950,21000,,
