Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Benin,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760
Burkina Faso,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600
Bangladesh,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170
Bulgaria,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,110630,108800,108770,108760,108640,108630,108610,108610,108560,108560,108560,108560,108560,108560,108560,108560,108560,108560
Bahrain,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,761.9999695,766.9999695,770,770,770.9999847,778.0000305,778.0000305,778.0000305,778.0000305
"Bahamas, The",10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010
Bosnia and Herzegovina,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200
Belarus,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202840,202830,202830,202810,202830,202900,202900,202900,202820,202900,202910,202910,202908.0078,202973.0078,202978.0078,202988.0078,202988.0078,202988.0078
Belize,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810
Bermuda,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095,54.00000095
Bolivia,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300
Brazil,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140
Barbados,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
Brunei Darussalam,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270
Bhutan,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,46722.99805,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38116.99951,38143.99902,38143.99902,38143.99902
Botswana,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730
Central African Republic,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980
Canada,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510,9093510
Central Europe and the Baltics,1105986,1105966,1105976,1105976,1105966,1105956,1105946,1105936,1105936,1105926,1105916,1105916,1105916,1105916,1105916,1105896,1105906,1105916,1105866,1105856,1105846,1105836,1105826,1105826,1105826,1105826,1105826,1105816,1104826,1104826,1104936,1104936.001,1104926.001,1104976.001,1104956.001,1105056.001,1105006.001,1104996.001,1105006.001,1104936.001,1104936.001,1103266.001,1103276.001,1103436.001,1103286.001,1103256.001,1103146.001,1103137.201,1104120.8,1104162.201,1104187.997,1103997.697,1105072.998,1105060,1105054.602,1105054.001,1105054.001,1105054.001
Switzerland,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.00049,39528.99902,39528.99902,39528.99902,39528.99902,39528.99902,39528.99902,39528.99902,39528.99902,39528.99902,39528.99902,39528.99902,39528.99902,39528.00049,39526.99951,39526.00098,39525,39523.99902,39523.00049,39521.99951,39521.00098,39520,39518.00049,39516.99951,39516.00098,39516.00098,39516.00098,39516.00098,39516.00098,39516.00098,39516.00098,39516.00098,39516.00098,39516.00098,39516.00098,39516.00098
Channel Islands,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924,197.9999924
Chile,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313,743532.0313
China,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388250,9388240,9388230,9388230,9388230,9388230,9388220,9388214.375,9388213.125,9388212.5,9388212.5,9388211.875,9388211.25,9388210.625,9388210.625,9388211.25,9388211.25,9388211.25,9388211.25,9388211.25,9388211.25,9388211.25,9388210,9388210,9388210
Cote d'Ivoire,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000
Cameroon,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710
"Congo, Dem. Rep.",2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050
"Congo, Rep.",341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500
Colombia,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500
Comoros,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061,1861.000061
Cabo Verde,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030
Costa Rica,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060
Caribbean small states,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404800,404940,404940,404940,404940,404940,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850
Cuba,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,107400,106390,106400,106410,106440,106430,106440,106440,106440,106440,106862.998,106449.0039,104220,104020,104020,104020,104020,104020
Curacao,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444,
Cayman Islands,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
