,Country,2015,2016,2017,2018,2019,2020,Y-Intercept,Slope,2021,2022,2023,2024,2025,Difference
130,Turkmenistan,5.547999999999999,5.6579999999999995,5.8220000270000005,5.636,5.247000000000001,5.119100093999999,210.91531257961879,[-0.10181427],[5.14866673],[5.04685246],[4.94503819],[4.84322391],[4.74140964],[-0.37769046]
131,Uganda,3.931,3.739,4.0809998510000005,4.1610000000000005,4.189,4.43200016,-222.73586422504775,[0.1124286],[4.48233343],[4.59476203],[4.70719063],[4.81961923],[4.93204782],[0.50004766]
132,Ukraine,4.681,4.324,4.096000195,4.103,4.332,4.56069994,37.234728555714305,[-0.01630001],[4.29239997],[4.27609996],[4.25979994],[4.24349993],[4.22719992],[-0.33350002]
133,United Arab Emirates,6.901,6.5729999999999995,6.647999763,6.774,6.825,6.790800095,-12.327860113000142,[0.00945716],[6.78506671],[6.79452388],[6.80398104],[6.8134382],[6.82289537],[0.03209527]
134,United Kingdom,6.867000000000001,6.725,6.714000225,7.19,7.053999999999999,7.164500237,-163.122888593476,[0.08430003],[7.24746684],[7.33176687],[7.41606689],[7.50036692],[7.58466695],[0.42016671]
135,United States,7.119,7.104,6.993000031,6.886,6.892,6.939599991000001,101.52322343214259,[-0.04685715],[6.82493333],[6.77807618],[6.73121904],[6.68436189],[6.63750475],[-0.30209524]
136,Uruguay,6.485,6.545,6.453999996,6.379,6.292999999999999,6.440100192999999,67.27466322319094,[-0.03015712],[6.32713346],[6.29697635],[6.26681923],[6.23666212],[6.206505],[-0.23359519]
137,Uzbekistan,6.002999999999999,5.987,5.971000195,6.096,6.1739999999999995,6.257599831,-106.84086385661925,[0.0559714],[6.27733323],[6.33330463],[6.38927603],[6.44524743],[6.50121883],[0.243619]
138,Venezuela,6.81,6.084,5.25,4.806,4.707,5.053199768,775.5026953984762,[-0.38168575],[4.11579985],[3.7341141],[3.35242835],[2.9707426],[2.58905686],[-2.46414291]
139,Vietnam,5.36,5.061,5.073999882,5.103,5.175,5.353499889,-14.324331991095129,[0.00967142],[5.22159992],[5.23127133],[5.24094275],[5.25061417],[5.26028558],[-0.09321431]
140,Yemen,4.077,3.7239999999999998,3.592999935,3.355,3.38,3.5274000169999997,235.21839134557146,[-0.1148],[3.20760001],[3.09280001],[2.97800002],[2.86320002],[2.74840002],[-0.77899999]
141,Zambia,5.129,4.795,4.513999939,4.377,4.107,3.759399891,526.0571421565237,[-0.25854287],[3.54199992],[3.28345705],[3.02491418],[2.76637131],[2.50782844],[-1.25157145]
142,Zimbabwe,4.61,4.1930000000000005,3.875,3.6919999999999997,3.6630000000000003,3.2992000580000003,483.8807547218096,[-0.23791428],[3.05600004],[2.81808576],[2.58017148],[2.34225721],[2.10434293],[-1.19485713]
